,city,lat,lng,max temp,humidity,cloudiness,wind speed,country id,date
81,Mahébourg,-20.4081,57.7,79.09,89,40,2.3,MU,1643404537
82,Khanu Woralaksaburi,16.0617,99.8606,77.85,48,11,2.08,TH,1643404537
83,Cayenne,4.9333,-52.3333,77.09,86,100,5.75,GF,1643404537
84,Saint Anthony,45.0205,-93.218,14.32,50,100,3.0,US,1643404538
85,Beringovskiy,63.05,179.3167,-5.31,95,99,2.82,RU,1643404538
86,Portalegre,39.2938,-7.4312,43.92,42,0,6.08,PT,1643404539
87,Upernavik,72.7868,-56.1549,1.2,62,100,9.69,GL,1643404539
88,Kyaikto,17.3,97.0167,69.37,61,83,4.07,MM,1643404539
89,Korla,41.7597,86.1469,22.05,61,0,5.7,CN,1643404540
90,Albany,42.6001,-73.9662,32.27,80,100,5.86,US,1643404266
91,Hofn,64.2539,-15.2082,30.61,53,36,13.13,IS,1643404540
92,Yangi Marg`ilon,40.4272,71.7189,36.82,41,100,6.91,UZ,1643404257
93,Pangnirtung,66.1451,-65.7125,-8.81,100,100,1.81,CA,1643404421
94,Saint Paul Harbor,57.79,-152.4072,26.11,80,100,13.8,US,1643404541
95,Lebu,-37.6167,-73.65,65.05,76,3,6.38,CL,1643404341
96,Paamiut,61.994,-49.6678,23.27,89,100,25.95,GL,1643404541
97,Marsá Maţrūḩ,31.3525,27.2453,54.54,70,39,13.51,EG,1643404541
98,Lakselv,70.0513,24.9718,21.02,93,75,2.3,NO,1643404542
99,Medicine Hat,50.0501,-110.6683,53.04,43,75,4.0,CA,1643404542
100,Cherskiy,68.75,161.3,-11.65,91,100,1.36,RU,1643404542
101,Rogers,36.3668,-95.5836,49.69,57,0,5.01,US,1643404602
102,Clyde River,70.4692,-68.5914,-10.97,84,100,40.29,CA,1643404337
103,Galle,6.0367,80.217,76.59,82,45,1.25,LK,1643404603
104,George Town,5.4112,100.3354,81.9,90,20,2.3,MY,1643404545
105,Lagoa,39.05,-27.9833,58.21,57,100,13.87,PT,1643404603
106,Bethel,41.3712,-73.414,32.49,81,100,3.44,US,1643404604
107,Chichester,50.8367,-0.78,50.0,94,100,1.99,GB,1643404604
108,Qaanaaq,77.484,-69.3632,-12.89,62,1,8.43,GL,1643404604
109,Hilo,19.7297,-155.09,80.33,64,20,10.36,US,1643404392
110,Lompoc,34.6391,-120.4579,74.7,20,0,3.44,US,1643404605
111,Cosâmbeşti,44.5593,27.4344,36.9,73,29,8.34,RO,1643404605
112,Katsuura,35.1333,140.3,41.18,68,100,8.57,JP,1643404605
113,Tilichiki,60.4667,166.1,26.11,85,100,32.23,RU,1643404606
114,Nowy Dwór Gdański,54.2131,19.1177,32.99,70,14,13.31,PL,1643404606
115,Birjand,32.8663,59.2211,32.47,37,0,0.0,IR,1643404606
116,Pinotepa Nacional,16.3167,-98.0167,87.49,46,1,11.77,MX,1643404607
117,Lüderitz,-26.6481,15.1594,69.33,71,0,28.34,NA,1643404607
118,Kerrville,30.0474,-99.1403,57.69,32,0,4.0,US,1643404607
119,Muisne,0.6,-80.0333,78.91,86,76,7.31,EC,1643404573
120,Zlobin,45.2924,14.6541,36.7,29,0,5.75,HR,1643404608
